地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京,13333.15,14055.32,13918.64,12514.99,12962.61,12412.74,12976,12993.08,13588.08,13886.87
天津,11085.1,12627.78,12034.51,11453.43,10324.37,8795.82,9349.76,10230.22,10652.37,10892.17
石家庄,4338.26,4543.16,3702.6,3891.35,3713.92,4242.72,3963.23,4083.9,4967.87,5200.29
太原,8110.6,8473.83,7659.31,7063.71,6033.42,5565.06,5716.47,4830.54,4636.18,4184.22
呼和浩特,3110.87,3318.21,3152.4,3464.82,3504.62,4170.59,5133.32,5574.45,5860.47,5805.39
沈阳,6901.03,8120.52,7111.84,6626.56,6525.79,6967.08,7058.07,8341.31,11495.78,11568.29
大连,3739.93,4099.94,3711.92,3855.62,4219.82,4477.89,4655.07,4911.5,6279.66,6396.17
长春,7201.86,8496.34,7614.3,7551.8,7216.32,6687.31,6522.22,6122.45,6058.49,5628.42
哈尔滨,5134.83,5406.34,5490.29,5509.27,4673.76,4482.15,4842.49,5578.78,6086.31,5947.06
上海,16678.19,16627.9,15740.34,14802.97,14672.37,15362.25,15111.24,15095.33,14690.18,13516.58
南京,7845.46,8597.29,8663.99,9001.67,8656.96,8163.04,7691.41,7084.44,6540.23,6156.48
杭州,13281.27,13291.26,13315.09,12000.92,11755.16,11527.37,11567.82,11145.9,10506.53,9327.52
宁波,9660.77,10778.64,10575.61,8347.74,7472.48,6833.12,6565.28,6737.89,7422.16,6833.96
合肥,8106.44,8284.96,7998.95,7874.2,8233.22,8283.56,7818.54,7199.3,6986.81,7015.32
福州,7478.88,8427.23,8662.6,8480.51,7921.37,7947.59,7760.77,7800.01,7598.91,6871.04
厦门,3514.91,3661.02,3616.04,4089.16,4343.24,4287.7,4312.2,4333.83,4219.86,3785.86
南昌,4982.65,5927.1,6068.95,6611.93,6093.95,5948.81,4982.72,4458.93,4244.74,3992.51
济南,8678.88,10156.54,10353.04,9431.52,9117.03,8014.94,7920.35,6633.99,5265.66,4815.08
青岛,12056.28,13022.24,12528.4,11579.57,10390.38,9532.69,9100.73,8971.23,8170.67,7072.55
郑州,18651.25,20503.04,19444.77,19583.6,18643.11,16394.83,14229.97,10818.24,10574.15,9721.23
武汉,15842.6,16251.62,15565.89,13556.46,11759.79,11912.98,11803.1,11062.52,10238.43,8545.13
长沙,11720.07,12958.76,12746.11,11878.61,10702.85,9814.09,9679.47,9304.76,9688.6,8696.54
广州,12946.25,12750.78,11878.29,11985.91,10999.01,10658.49,10061.92,9345.57,9369.93,8159.31
深圳,10774.8,10319.29,9537.94,7907.85,6747.69,5676.07,5173.99,4978.41,4492.18,4003.49
南宁,10381.45,11246.52,10712.49,9704.05,8129.81,7171.62,6191.24,5174.93,4519.36,3812.35
海口,3542.17,3369.06,3370.64,3439.31,3337.73,3336.61,3081.9,2571.66,2252.04,1805.89
重庆,22646.9,26893.17,27368.16,27986.64,27226.56,25960.99,27363.39,28985.67,28623.93,26251.89
成都,19338.18,19544.1,19122.23,20619.9,19514.56,19396.65,19880.94,18334.84,17202.89,15239.3
贵阳,7504.29,8178.96,7875.4,7961.95,6058.28,5790.77,6086.75,6847.81,6815.79,6467.52
昆明,12051.99,12826.85,11359.07,12236.93,10293.44,10090.2,9518.45,9200.41,8772.72,7705.66
西安,13735.56,14452.47,14472.23,15870.82,15238.05,15408.82,14686.85,13332.63,12332.19,10297.63
兰州,4794.19,5576.37,5058.56,5137.89,4314.16,4140.2,4010.16,3800.49,3284.56,2622.13
西宁,2009.58,2036.39,1824.51,2084.14,1875.88,2235.27,2146.77,1893.55,1808.27,1840.4
银川,3320.35,3704.85,3756.64,3799.45,3795.57,4144.19,4272.83,4231.36,4208.92,3522.66
乌鲁木齐,5529.36,6056.27,5230.52,4862.05,4605.11,4156.16,3855.08,3755.8,3859,3351.29
